,FG,FGA,FGApred,Error,PercentageError,RsquaredU,RsquaredT
108,7.2,15.3,15.319291739081944,0.01929173908194315,0.12608979792119704,0.0003721711968057727,67.43327574531696
109,2.2,4.9,4.969777629715207,0.0697776297152064,1.4240332594940082,0.004868917608672456,4.7883214305959605
110,7.8,18.3,16.561233432205952,1.7387665677940483,9.501456654612285,3.0233091772782945,125.70393564379417
111,2.1,5.2,4.762787347527872,0.4372126524721285,8.40793562446401,0.19115490348171418,3.565387420443682
112,2.1,3.4,4.762787347527872,1.3627873475278718,40.081980809643284,1.8571893545820524,13.60299148135736
113,0.7,1.3,1.8649233969051848,0.5649233969051848,43.45564591578344,0.31913844437089295,33.50352955242332
114,0.4,1.9,1.2439525503431805,0.6560474496568194,34.5288131398326,0.43039825620121697,26.917661532118764
115,6.1,14.4,13.04239863502126,1.3576013649787395,9.427787256796801,1.8430814661921366,53.46207777577378
116,5.5,12.6,11.800456941897252,0.7995430581027474,6.345579826212282,0.6392691017602933,30.379681836687446
117,2.4,5.9,5.383758194089875,0.5162418059101253,8.749861117120766,0.26650560216934743,1.4118747300883625
118,1.7,4.1,3.9348262187785323,0.1651737812214673,4.028628810279691,0.027282378002997147,8.929478791002044
119,1.5,4.1,3.520845654403863,0.5791543455961365,14.125715746247232,0.33541975602288915,8.929478791002044
120,3.4,7.5,7.453661015963223,0.04633898403677694,0.6178531204903592,0.002147301441560668,0.16956000927620513
121,1.3,3.7,3.1068650900291934,0.5931349099708068,16.030673242454235,0.35180902142607706,11.48005747120508
122,3.6,8.6,7.867641580337893,0.7323584196621065,8.515795577466355,0.5363488548499781,2.285468638717845
123,5.2,8.3,11.17948609533525,2.879486095335249,34.69260355825601,8.291440173229038,1.4684026488701276
124,2.5,4.9,5.59074847627721,0.6907484762772098,14.09690767912673,0.4771334574792871,4.7883214305959605
125,6.9,15.9,14.698320892519941,1.201679107480059,7.557730235723642,1.4440326773540713,77.64740772501237
126,3.9,8.5,8.488612426899898,0.011387573100101633,0.13397144823648982,0.00012967682111015834,1.9931133087686062
127,1.6,3.1,3.7278359365911977,0.6278359365911976,20.252772148103148,0.3941779632753463,15.90592549150964
128,5.2,11.1,11.17948609533525,0.07948609533525008,0.7160909489662171,0.006318039351644465,16.094351887448845
129,3.8,10.0,8.28162214471256,1.7183778552874394,17.183778552874394,2.95282245354226,8.478443258007207
130,5.6,10.2,12.007447224084586,1.8074472240845871,17.7200708243587,3.26686546785108,9.683153917905683
131,6.8,15.7,14.491330610332604,1.2086693896673957,7.698531144378316,1.4608816935189548,74.1626970651139
132,5.5,13.5,11.800456941897252,1.6995430581027478,12.58920783779813,2.88844660634524,41.110879806230614
133,4.7,10.9,10.144534684398575,0.755465315601425,6.930874455058945,0.5707278430767607,14.529641227550371
134,6.0,13.7,12.835408352833927,0.8645916471660726,6.310887935518779,0.7475187163493426,43.71559046612908
135,3.6,8.5,7.867641580337893,0.6323584196621068,7.439510819554197,0.3998771709175572,1.9931133087686062
136,4.3,10.7,9.316573555649235,1.3834264443507642,12.92921910608191,1.9138687269289982,13.044930567651884
137,1.1,3.0,2.692884525654524,0.3071154743454758,10.237182478182527,0.09431991458244661,16.7135701615604
138,2.8,6.6,6.2117193228392145,0.3882806771607852,5.8830405630422,0.15076188425643788,0.23836203973304448
139,5.6,11.2,12.007447224084586,0.8074472240845871,7.209350215040956,0.6519710196819055,16.906707217398083
140,5.9,12.4,12.628418070646592,0.22841807064659214,1.842081214891872,0.05217481499791156,28.214971176788975
141,0.4,1.6,1.2439525503431805,0.35604744965681956,22.25296560355122,0.12676978640712547,30.120595542271033
142,2.5,4.6,5.59074847627721,0.9907484762772105,21.538010353852403,0.9815825432456143,6.191255440748244
143,2.0,4.9,4.555797065340537,0.3442029346594637,7.0245496869278305,0.11847566022818705,4.7883214305959605
144,3.3,7.7,7.246670733775888,0.4533292662241122,5.887393067845613,0.20550742361529198,0.37427066917468554
145,8.2,15.7,17.38919456095529,1.6891945609552899,10.75920102519293,2.8533782647609343,74.1626970651139
146,2.3,4.9,5.176767911902541,0.2767679119025406,5.648324732704909,0.07660047705889246,4.7883214305959605
147,7.3,15.4,15.526282021269278,0.12628202126927768,0.8200131251251797,0.015947148895854298,69.08563107526616
148,7.5,15.8,15.940262585643946,0.14026258564394567,0.8877378838224408,0.019673592931525194,75.89505239506316
149,4.0,8.1,8.695602709087233,0.5956027090872329,7.353119865274481,0.354742587072051,1.0236919889716452
150,4.8,9.0,10.35152496658591,1.3515249665859095,15.016944073176772,1.8266197353050437,3.654889958514807
151,7.6,16.2,16.14725286783128,0.052747132168718736,0.3255995812883873,0.002782259952024283,83.0244737148601
152,7.0,12.6,14.905311174707276,2.305311174707276,18.29612043418473,5.31445961223024,30.379681836687446
153,1.2,3.4,2.8998748078418584,0.5001251921581416,14.709564475239459,0.250125207831218,13.60299148135736
154,2.7,5.6,6.00472904065188,0.40472904065188064,7.227304297355013,0.16380559634699166,2.214808740240644
155,2.1,3.6,4.762787347527872,1.1627873475278716,32.29964854244088,1.3520744155709032,12.167702141255841
156,2.6,6.4,5.797738758464545,0.6022612415354551,9.410331898991487,0.3627186030558278,0.47365137983456346
157,1.6,4.4,3.7278359365911977,0.6721640634088026,15.276455986563695,0.45180452813823285,7.22654478084976
158,9.0,19.4,19.04511681845397,0.35488318154602894,1.8292947502372627,0.12594207254423173,151.57984427323578
159,2.8,7.0,6.2117193228392145,0.7882806771607855,11.261152530868365,0.6213864259850665,0.007783359530004577
160,4.1,9.2,8.902592991274567,0.2974070087254326,3.2326848774503545,0.08845092883900953,4.459600618413284
161,3.3,6.3,7.246670733775888,0.9466707337758882,15.026519583744257,0.8961854781877785,0.621296049885324
162,4.1,9.8,8.902592991274567,0.897407008725434,9.157214374749326,0.8053393393095312,7.353732598108731
163,5.1,11.4,10.972495813147912,0.42750418685208835,3.750036726772705,0.18275982977606528,18.59141787729657
164,3.0,8.7,6.625699887213885,2.0743001127861147,23.84253003202431,4.302720957904488,2.5978239686670843
165,7.8,16.0,16.561233432205952,0.5612334322059525,3.507708951287203,0.31498296542567344,79.41976305496163
166,4.6,10.0,9.937544402211241,0.062455597788758865,0.6245559778875887,0.003900701695151221,8.478443258007207
167,4.8,9.4,10.35152496658591,0.9515249665859091,10.122606027509672,0.9053997620363154,5.3443112783117686
168,0.7,2.5,1.8649233969051848,0.6350766030948152,25.403064123792607,0.4033222917984494,21.0517935118142
169,1.2,2.1,2.8998748078418584,0.7998748078418583,38.08927656389801,0.6397997082200497,24.882372192017232
170,4.4,10.6,9.523563837836573,1.0764361621634269,10.155058133617235,1.1587148112131274,12.332575237702645
171,3.6,8.9,7.867641580337893,1.0323584196621072,11.599532805192215,1.0657639066472433,3.282534628565568
172,3.6,8.1,7.867641580337893,0.23235841966210646,2.8686224649642775,0.05399043518787158,1.0236919889716452
173,2.3,5.0,5.176767911902541,0.17676791190254093,3.535358238050819,0.03124689467838447,4.360676760545203
174,8.3,18.9,17.596184843142627,1.3038151568573717,6.8984928934252485,1.6999339632510129,139.51806762348957
175,4.8,10.1,10.35152496658591,0.25152496658590984,2.4903462038208897,0.06326480881604306,9.070798587956446
176,0.9,1.9,2.2789039612798545,0.3789039612798546,19.942313751571294,0.14356821187356555,26.917661532118764
177,1.2,2.3,2.8998748078418584,0.5998748078418585,26.081513384428632,0.35984978508330673,22.92708285191572
178,0.9,2.0,2.2789039612798545,0.2789039612798545,13.945198063992725,0.07778741961759458,25.890016862068
179,3.2,6.5,7.039680451588554,0.5396804515885538,8.302776178285445,0.2912549898268254,0.34600670978380405
180,2.5,5.4,5.59074847627721,0.1907484762772098,3.5323791903186996,0.036384981202077275,2.850098080342162
181,1.4,4.3,3.313855372216528,0.9861446277834718,22.933595994964463,0.9724812269062021,7.774189450900523
182,1.4,3.6,3.313855372216528,0.28614462778347205,7.9484618828742235,0.08187874800934176,12.167702141255841
183,2.4,4.4,5.383758194089875,0.9837581940898747,22.35814077476988,0.9677801844389716,7.22654478084976
184,1.4,3.3,3.313855372216528,0.013855372216528217,0.4198597641372187,0.00019197133925854203,14.350636151408121
185,2.7,4.1,6.00472904065188,1.9047290406518806,46.45680586955807,3.6279927183026337,8.929478791002044
186,2.5,5.4,5.59074847627721,0.1907484762772098,3.5323791903186996,0.036384981202077275,2.850098080342162
187,3.2,8.1,7.039680451588554,1.0603195484114458,13.090364795203035,1.1242775447434523,1.0236919889716452
188,4.9,11.1,10.558515248773244,0.541484751226756,4.878241002042847,0.2932057358111018,16.094351887448845
189,1.1,2.0,2.692884525654524,0.6928845256545242,34.64422628272621,0.48008896589149497,25.890016862068
190,1.9,4.1,4.348806783153202,0.24880678315320193,6.068458125687853,0.06190481534304445,8.929478791002044
191,3.6,7.9,7.867641580337893,0.032358419662107174,0.4096002488874326,0.001047067323029044,0.6589813290731661
192,4.9,11.1,10.558515248773244,0.541484751226756,4.878241002042847,0.2932057358111018,16.094351887448845
